Ticker,Name,Sector,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total%
BE,Bloom Energy,NewEnergy,29.51,56.31,41.59,59.75,56.27,-17.34,-20.46,74.21,2.84,-12.96,109.14,0.2,379.06
MU,Micron,Chip,30.49,-11.37,9.05,40.59,33.82,5.68,20.74,45.36,-0.61,-18.04,53.08,53.79,262.58
INTC,Intel,Chip,14.58,-11.61,22.98,37.78,19.2,1.43,-9.02,25.93,-1.85,-3.24,114.09,37.0,247.27
AMD,AMD,Chip,28.15,24.25,-7.76,-0.52,58.3,-15.07,-1.55,10.54,-15.43,1.61,74.26,29.42,186.2
PLUG,Plug Power,NewEnergy,69.32,0.67,4.67,48.41,15.45,-25.28,-1.99,7.61,-15.57,26.26,38.5,12.46,180.51
MRVL,Marvell,Chip,28.59,3.93,-21.78,33.72,11.58,-4.64,-4.94,-7.07,3.51,21.25,66.82,3.45,134.42
SEDG,SolarEdge,NewEnergy,14.22,25.78,31.8,9.4,-5.16,4.1,-21.02,7.28,14.38,44.21,-16.04,-2.5,106.45
^SOX,PHLX_Semiconductor,Index,16.57,1.11,1.09,12.36,13.48,-2.82,0.83,12.92,1.25,-6.3,38.42,15.02,103.93
GOOGL,Google,AI,2.73,8.89,10.95,14.28,15.67,13.87,-2.18,7.99,-7.76,-7.7,33.82,1.0,91.56
RUN,Sunrun,NewEnergy,9.21,25.43,55.65,8.27,20.07,-2.46,-9.14,3.26,-30.26,2.34,-6.12,13.67,89.92
ASML,ASML,Chip,8.77,-13.09,6.9,30.36,9.61,0.07,0.93,33.01,2.07,-8.94,9.18,8.81,87.68
TSM,TSMC,Chip,17.59,6.68,-4.45,21.36,7.57,-2.97,4.53,8.77,13.32,-9.53,17.19,2.14,82.2
ARM,Arm Holdings,Chip,29.87,-12.59,-2.17,2.3,20.02,-20.17,-19.36,-3.61,20.97,18.7,39.03,1.11,74.1
NIO,NIO,NewEnergy,-3.11,41.98,31.01,19.44,-4.86,-24.14,-7.27,-7.84,3.62,23.82,5.97,-5.01,73.61
AVGO,Broadcom,Chip,14.14,6.55,1.25,11.13,12.04,9.02,-13.95,-4.28,-3.55,-2.94,34.87,2.64,66.92
TXN,Texas Instruments,Chip,13.55,-12.17,11.83,-9.26,-11.34,4.22,3.1,25.06,-1.59,-8.47,44.78,6.47,66.18
QCOM,Qualcomm,Chip,10.34,-7.85,9.52,4.1,8.74,-7.08,2.28,-11.38,-6.09,-8.96,39.45,32.27,65.34
NVDA,NVIDIA,AI,16.92,12.59,-2.07,7.13,8.53,-12.59,5.37,2.48,-7.29,-1.57,14.43,9.96,53.89
FSLR,First Solar,NewEnergy,4.72,5.55,11.71,12.98,21.04,2.24,-4.28,-13.67,-12.56,0.03,2.35,15.54,45.65
^RUT,Russell2000,Index,5.26,1.68,7.0,2.96,1.76,0.85,-0.74,5.31,0.71,-5.17,12.16,2.53,34.31
NEE,NextEra Energy,NewEnergy,-0.93,2.37,2.17,4.77,7.83,6.74,-6.97,9.48,7.41,-0.95,5.38,-3.11,34.19
^IXIC,NASDAQ,Index,6.57,3.7,1.58,5.61,4.7,-1.51,-0.53,0.95,-3.38,-4.75,15.29,5.55,33.78
ORCL,Oracle,AI,32.08,16.32,-10.89,24.37,-6.46,-23.1,-3.49,-15.34,-11.66,1.18,10.09,20.11,33.21
TSLA,Tesla,NewEnergy,-8.31,-2.96,8.3,33.2,2.66,-5.78,4.54,-4.29,-6.48,-7.64,2.66,16.61,32.51
AMZN,Amazon,AI,7.01,6.71,-2.18,-4.12,11.23,-4.5,-1.03,3.67,-12.24,-0.82,27.27,1.48,32.48
^GSPC,SP500,Index,4.96,2.17,1.91,3.53,2.27,0.13,-0.05,1.37,-0.87,-5.09,10.42,2.83,23.58
^DJI,DowJones,Index,4.32,0.08,3.2,1.87,2.51,0.32,0.73,1.73,0.17,-5.38,7.14,0.11,16.8
^VIX,VIX,Index,-9.91,-0.06,-8.13,5.99,7.13,-6.25,-8.56,16.66,13.88,27.14,-33.11,8.82,13.6
SMCI,Super Micro Computer,AI,22.46,20.32,-29.56,15.41,8.39,-34.85,-13.53,-0.55,11.27,-29.7,20.33,22.34,12.33
PLTR,Palantir,AI,3.45,16.16,-1.04,16.41,9.89,-15.97,5.52,-17.53,-6.41,6.63,-4.9,-1.6,10.61
RIVN,Rivian,NewEnergy,-5.44,-6.33,5.44,8.18,-7.56,24.24,16.9,-25.16,3.93,-1.83,8.97,-14.15,7.19
ENPH,Enphase Energy,NewEnergy,-4.2,-18.39,16.5,-6.13,-13.79,-5.44,11.09,15.38,14.31,-10.55,-12.83,14.23,0.18
META,Meta,AI,14.08,4.79,-4.49,-0.52,-11.71,-0.06,1.96,8.55,-9.53,-11.66,6.95,-2.13,-3.77
IBM,IBM,AI,13.79,-14.12,-3.17,15.88,8.95,0.93,-4.01,3.54,-21.23,0.91,-4.71,-2.5,-5.74
MSFT,Microsoft,AI,8.05,7.26,-4.87,2.22,-0.03,-4.81,-1.71,-11.03,-8.52,-5.75,10.16,1.2,-7.83
XPEV,XPeng,NewEnergy,-7.41,1.85,15.43,11.42,0.3,-7.07,-7.1,-11.34,-2.34,-2.56,-4.73,-0.92,-14.47
SNOW,Snowflake,AI,8.8,-0.12,6.78,-5.49,21.87,-8.6,-12.69,-12.15,-12.61,-10.44,-9.51,11.01,-23.15
CRM,Salesforce,AI,2.92,-5.27,-0.8,-7.35,9.88,-11.47,15.1,-19.86,-8.25,-4.17,-5.19,0.54,-33.92
LI,Li Auto,NewEnergy,-4.34,-3.73,-10.54,8.52,-17.72,-11.8,-7.94,-1.77,5.77,1.36,0.0,5.83,-36.36
AI,C3.ai,AI,-7.6,-4.11,-28.23,2.54,1.38,-17.8,-6.71,-18.32,-27.79,5.91,4.87,7.36,-88.5
LCID,Lucid,NewEnergy,-5.38,16.59,-19.51,20.15,-25.39,-23.21,-22.45,4.73,-9.67,-4.7,-33.16,-5.34,-107.34
