Stock_1,Stock_2,Sector_1,Sector_2,Pair_Type,Correlation
TSM,ASML,Chip,Chip,Chip,0.6506
NVDA,TSM,AI,Chip,AI-Chip,0.6227
TSM,AVGO,Chip,Chip,Chip,0.5976
TSM,ARM,Chip,Chip,Chip,0.5633
MU,ASML,Chip,Chip,Chip,0.5628
TSM,MU,Chip,Chip,Chip,0.5504
AMD,ARM,Chip,Chip,Chip,0.5405
AMD,TSM,Chip,Chip,Chip,0.5385
NVDA,AVGO,AI,Chip,AI-Chip,0.5193
NVDA,SMCI,AI,AI,AI,0.5078
NVDA,AMD,AI,Chip,AI-Chip,0.4942
NVDA,ASML,AI,Chip,AI-Chip,0.4907
CRM,SNOW,AI,AI,AI,0.4845
SMCI,TSM,AI,Chip,AI-Chip,0.4821
SMCI,AMD,AI,Chip,AI-Chip,0.4798
AVGO,ASML,Chip,Chip,Chip,0.4691
MSFT,CRM,AI,AI,AI,0.4691
ORCL,AVGO,AI,Chip,AI-Chip,0.468
MSFT,SNOW,AI,AI,AI,0.4539
MRVL,ARM,Chip,Chip,Chip,0.4526
SMCI,ARM,AI,Chip,AI-Chip,0.4482
INTC,MU,Chip,Chip,Chip,0.4443
META,AMZN,AI,AI,AI,0.4441
ARM,ASML,Chip,Chip,Chip,0.4411
NVDA,MU,AI,Chip,AI-Chip,0.4409
AVGO,ARM,Chip,Chip,Chip,0.4405
AMD,MU,Chip,Chip,Chip,0.4391
AMD,ASML,Chip,Chip,Chip,0.4358
AVGO,MRVL,Chip,Chip,Chip,0.4351
AVGO,MU,Chip,Chip,Chip,0.431
INTC,ASML,Chip,Chip,Chip,0.4283
NVDA,ARM,AI,Chip,AI-Chip,0.4225
QCOM,ARM,Chip,Chip,Chip,0.413
MRVL,ASML,Chip,Chip,Chip,0.4096
GOOGL,TSM,AI,Chip,AI-Chip,0.409
TSM,MRVL,Chip,Chip,Chip,0.4079
AMD,MRVL,Chip,Chip,Chip,0.4056
GOOGL,ASML,AI,Chip,AI-Chip,0.3943
NVDA,META,AI,AI,AI,0.3935
NVDA,MSFT,AI,AI,AI,0.3928
NVDA,PLTR,AI,AI,AI,0.3916
INTC,QCOM,Chip,Chip,Chip,0.39
GOOGL,AMZN,AI,AI,AI,0.3898
MSFT,PLTR,AI,AI,AI,0.3817
QCOM,ASML,Chip,Chip,Chip,0.3812
AMD,INTC,Chip,Chip,Chip,0.3797
CRM,IBM,AI,AI,AI,0.3794
NVDA,ORCL,AI,AI,AI,0.3786
SMCI,ASML,AI,Chip,AI-Chip,0.3733
AMD,QCOM,Chip,Chip,Chip,0.3702
PLTR,SNOW,AI,AI,AI,0.3649
GOOGL,AVGO,AI,Chip,AI-Chip,0.3639
NVDA,MRVL,AI,Chip,AI-Chip,0.3618
MU,ARM,Chip,Chip,Chip,0.3613
CRM,AI,AI,AI,AI,0.357
AMD,AVGO,Chip,Chip,Chip,0.355
ORCL,TSM,AI,Chip,AI-Chip,0.3503
MSFT,ORCL,AI,AI,AI,0.3498
NVDA,AI,AI,AI,AI,0.3496
MSFT,META,AI,AI,AI,0.3495
AMZN,TSM,AI,Chip,AI-Chip,0.3474
PLTR,ORCL,AI,AI,AI,0.3473
MU,MRVL,Chip,Chip,Chip,0.3447
SMCI,MRVL,AI,Chip,AI-Chip,0.3427
GOOGL,QCOM,AI,Chip,AI-Chip,0.338
QCOM,MU,Chip,Chip,Chip,0.3353
INTC,ARM,Chip,Chip,Chip,0.3352
GOOGL,ARM,AI,Chip,AI-Chip,0.3307
META,TSM,AI,Chip,AI-Chip,0.3305
SMCI,AVGO,AI,Chip,AI-Chip,0.3279
INTC,MRVL,Chip,Chip,Chip,0.3273
AMZN,MU,AI,Chip,AI-Chip,0.3249
SNOW,ORCL,AI,AI,AI,0.3245
ORCL,ARM,AI,Chip,AI-Chip,0.3233
PLTR,AMD,AI,Chip,AI-Chip,0.3217
MSFT,AI,AI,AI,AI,0.3211
SNOW,IBM,AI,AI,AI,0.3209
AI,SNOW,AI,AI,AI,0.3208
NVDA,AMZN,AI,AI,AI,0.3193
PLTR,AVGO,AI,Chip,AI-Chip,0.3187
MSFT,AMZN,AI,AI,AI,0.3171
AMZN,MRVL,AI,Chip,AI-Chip,0.3121
GOOGL,MU,AI,Chip,AI-Chip,0.3091
PLTR,AI,AI,AI,AI,0.3084
AI,IBM,AI,AI,AI,0.3063
AI,TSM,AI,Chip,AI-Chip,0.3
AMZN,ASML,AI,Chip,AI-Chip,0.2988
QCOM,MRVL,Chip,Chip,Chip,0.2937
AMZN,PLTR,AI,AI,AI,0.2933
SMCI,MU,AI,Chip,AI-Chip,0.2932
TXN,MRVL,Chip,Chip,Chip,0.293
TXN,MU,Chip,Chip,Chip,0.2911
AMZN,ARM,AI,Chip,AI-Chip,0.2909
INTC,TSM,Chip,Chip,Chip,0.2876
QCOM,TXN,Chip,Chip,Chip,0.2873
AMZN,QCOM,AI,Chip,AI-Chip,0.2866
GOOGL,AMD,AI,Chip,AI-Chip,0.2858
AMZN,AMD,AI,Chip,AI-Chip,0.2831
AI,SMCI,AI,AI,AI,0.2819
META,ASML,AI,Chip,AI-Chip,0.2817
MSFT,SMCI,AI,AI,AI,0.2817
META,AVGO,AI,Chip,AI-Chip,0.2809
PLTR,SMCI,AI,AI,AI,0.2791
SMCI,QCOM,AI,Chip,AI-Chip,0.2789
NVDA,INTC,AI,Chip,AI-Chip,0.2787
PLTR,TSM,AI,Chip,AI-Chip,0.2765
MSFT,AVGO,AI,Chip,AI-Chip,0.2724
INTC,AVGO,Chip,Chip,Chip,0.2723
TSM,QCOM,Chip,Chip,Chip,0.2722
INTC,TXN,Chip,Chip,Chip,0.2721
GOOGL,MRVL,AI,Chip,AI-Chip,0.2677
META,PLTR,AI,AI,AI,0.2609
NVDA,GOOGL,AI,AI,AI,0.259
PLTR,IBM,AI,AI,AI,0.2568
AI,QCOM,AI,Chip,AI-Chip,0.2548
SMCI,ORCL,AI,AI,AI,0.2547
TXN,ARM,Chip,Chip,Chip,0.2529
AI,AVGO,AI,Chip,AI-Chip,0.2519
AMZN,AVGO,AI,Chip,AI-Chip,0.2503
AVGO,QCOM,Chip,Chip,Chip,0.2501
AMZN,INTC,AI,Chip,AI-Chip,0.2486
SNOW,AVGO,AI,Chip,AI-Chip,0.2477
AI,ASML,AI,Chip,AI-Chip,0.2463
PLTR,MRVL,AI,Chip,AI-Chip,0.2432
AI,ORCL,AI,AI,AI,0.2424
TXN,ASML,Chip,Chip,Chip,0.2409
SMCI,INTC,AI,Chip,AI-Chip,0.239
MSFT,TSM,AI,Chip,AI-Chip,0.2344
MSFT,IBM,AI,AI,AI,0.2326
AMZN,CRM,AI,AI,AI,0.2308
NVDA,QCOM,AI,Chip,AI-Chip,0.2299
CRM,PLTR,AI,AI,AI,0.2298
AI,AMD,AI,Chip,AI-Chip,0.227
ORCL,AMD,AI,Chip,AI-Chip,0.2252
META,AMD,AI,Chip,AI-Chip,0.225
GOOGL,PLTR,AI,AI,AI,0.2241
ORCL,MU,AI,Chip,AI-Chip,0.2232
AMZN,SMCI,AI,AI,AI,0.2228
GOOGL,SMCI,AI,AI,AI,0.2227
TSM,TXN,Chip,Chip,Chip,0.2222
AI,MRVL,AI,Chip,AI-Chip,0.22
GOOGL,INTC,AI,Chip,AI-Chip,0.2173
MSFT,AMD,AI,Chip,AI-Chip,0.2164
GOOGL,IBM,AI,AI,AI,0.2154
GOOGL,META,AI,AI,AI,0.2125
AI,INTC,AI,Chip,AI-Chip,0.2107
AI,ARM,AI,Chip,AI-Chip,0.2095
IBM,QCOM,AI,Chip,AI-Chip,0.2089
IBM,SMCI,AI,AI,AI,0.204
META,IBM,AI,AI,AI,0.2033
META,MU,AI,Chip,AI-Chip,0.2028
AMD,TXN,Chip,Chip,Chip,0.2018
CRM,ORCL,AI,AI,AI,0.2016
NVDA,SNOW,AI,AI,AI,0.2004
META,SMCI,AI,AI,AI,0.1984
AMZN,AI,AI,AI,AI,0.1984
ORCL,MRVL,AI,Chip,AI-Chip,0.198
CRM,QCOM,AI,Chip,AI-Chip,0.1968
SNOW,TSM,AI,Chip,AI-Chip,0.1893
META,MRVL,AI,Chip,AI-Chip,0.1889
PLTR,MU,AI,Chip,AI-Chip,0.1885
GOOGL,AI,AI,AI,AI,0.1876
AMZN,SNOW,AI,AI,AI,0.187
META,INTC,AI,Chip,AI-Chip,0.1864
IBM,AVGO,AI,Chip,AI-Chip,0.1858
META,ORCL,AI,AI,AI,0.1841
AMZN,IBM,AI,AI,AI,0.1816
SNOW,MRVL,AI,Chip,AI-Chip,0.1793
PLTR,ASML,AI,Chip,AI-Chip,0.1715
PLTR,ARM,AI,Chip,AI-Chip,0.1699
AMZN,TXN,AI,Chip,AI-Chip,0.1678
META,AI,AI,AI,AI,0.1616
AI,MU,AI,Chip,AI-Chip,0.1579
GOOGL,TXN,AI,Chip,AI-Chip,0.1573
META,ARM,AI,Chip,AI-Chip,0.1546
ORCL,ASML,AI,Chip,AI-Chip,0.1492
SNOW,MU,AI,Chip,AI-Chip,0.1475
IBM,ORCL,AI,AI,AI,0.1471
SNOW,SMCI,AI,AI,AI,0.1412
IBM,MRVL,AI,Chip,AI-Chip,0.1342
SNOW,AMD,AI,Chip,AI-Chip,0.1303
IBM,AMD,AI,Chip,AI-Chip,0.1297
IBM,ARM,AI,Chip,AI-Chip,0.1286
META,SNOW,AI,AI,AI,0.1261
MSFT,ARM,AI,Chip,AI-Chip,0.126
IBM,ASML,AI,Chip,AI-Chip,0.1257
SNOW,ASML,AI,Chip,AI-Chip,0.1253
META,CRM,AI,AI,AI,0.1248
MSFT,MU,AI,Chip,AI-Chip,0.1225
PLTR,QCOM,AI,Chip,AI-Chip,0.1186
NVDA,IBM,AI,AI,AI,0.1181
AVGO,TXN,Chip,Chip,Chip,0.1179
GOOGL,ORCL,AI,AI,AI,0.1165
GOOGL,SNOW,AI,AI,AI,0.1149
ORCL,QCOM,AI,Chip,AI-Chip,0.1143
SNOW,ARM,AI,Chip,AI-Chip,0.1143
IBM,TSM,AI,Chip,AI-Chip,0.1115
CRM,ARM,AI,Chip,AI-Chip,0.1105
AMZN,ORCL,AI,AI,AI,0.1089
IBM,INTC,AI,Chip,AI-Chip,0.107
SNOW,QCOM,AI,Chip,AI-Chip,0.1063
MSFT,MRVL,AI,Chip,AI-Chip,0.1032
MSFT,GOOGL,AI,AI,AI,0.1012
AI,TXN,AI,Chip,AI-Chip,0.0946
CRM,SMCI,AI,AI,AI,0.0926
SMCI,TXN,AI,Chip,AI-Chip,0.0919
MSFT,QCOM,AI,Chip,AI-Chip,0.0913
GOOGL,CRM,AI,AI,AI,0.0908
IBM,MU,AI,Chip,AI-Chip,0.0872
NVDA,CRM,AI,AI,AI,0.0715
ORCL,INTC,AI,Chip,AI-Chip,0.0662
NVDA,TXN,AI,Chip,AI-Chip,0.0619
CRM,AVGO,AI,Chip,AI-Chip,0.0615
MSFT,ASML,AI,Chip,AI-Chip,0.061
PLTR,INTC,AI,Chip,AI-Chip,0.0576
META,TXN,AI,Chip,AI-Chip,0.0542
SNOW,INTC,AI,Chip,AI-Chip,0.0523
MSFT,INTC,AI,Chip,AI-Chip,0.0388
META,QCOM,AI,Chip,AI-Chip,0.0257
CRM,INTC,AI,Chip,AI-Chip,0.0207
CRM,MU,AI,Chip,AI-Chip,0.0002
CRM,MRVL,AI,Chip,AI-Chip,-0.0066
CRM,TSM,AI,Chip,AI-Chip,-0.0073
CRM,AMD,AI,Chip,AI-Chip,-0.0104
ORCL,TXN,AI,Chip,AI-Chip,-0.0246
SNOW,TXN,AI,Chip,AI-Chip,-0.0398
CRM,ASML,AI,Chip,AI-Chip,-0.054
IBM,TXN,AI,Chip,AI-Chip,-0.0621
PLTR,TXN,AI,Chip,AI-Chip,-0.073
CRM,TXN,AI,Chip,AI-Chip,-0.1152
MSFT,TXN,AI,Chip,AI-Chip,-0.1457
